Samples	"Precision"	"Recall"	"Precision"	"Recall"
10	99.81%	96.04%	99.87%	96.61%
5	99.66%	95.75%	99.73%	96.42%
4	99.84%	96.05%	99.97%	96.39%
3	99.80%	96.17%	99.79%	96.42%
2	99.88%	95.73%	99.84%	96.16%
1	99.96%	95.76%	99.90%	96.21%
