Samples	Precision	Recall
"1 - 80%, 2 - 20%"	99.56%	99.09%
"1 - 30%, 2 - 70%"	96.01%	97.51%
"2 - 100%"	95.17%	95.36%
"2 - 70%, 3 - 30%"	92.37%	93.58%
"2 - 30%, 3 - 70%"	87.66%	90.01%
"3 - 100%"	83.64%	86.99%
"3 - 70%, 4 - 30%"	64.47%	87.08%
"3 - 30%, 4 - 70%"	38.88%	90.99%
"4 - 100%"	30.52%	95.25%
"4 - 70%, 5 - 30%"	30.37%	76.52%
"4 - 30%, 5 - 70%"	32.83%	40.05%
"5 - 100%"	36.63%	19.90%
